# participant_id	file_id	dilation_radius	dsc
2	3063	0	0.968645
2	3063	1	0.976708
2	3063	2	0.974335
2	3063	3	0.971998
2	3063	4	0.967491
2	6046	0	0.768698
2	6046	1	0.798766
2	6046	2	0.797271
2	6046	3	0.802179
2	6046	4	0.854097
2	8068	0	0.932384
2	8068	1	0.922877
2	8068	2	0.924095
2	8068	3	0.924438
2	8068	4	0.941278
2	12003	0	0.950589
2	12003	1	0.978178
2	12003	2	0.976476
2	12003	3	0.976689
2	12003	4	0.974918
2	16052	0	0.864676
2	16052	1	0.868640
2	16052	2	0.881061
2	16052	3	0.892600
2	16052	4	0.926175
2	41006	0	0.620223
2	41006	1	0.740614
2	41006	2	0.719169
2	41006	3	0.692575
2	41006	4	0.720580
2	41085	0	0.477095
2	41085	1	0.578294
2	41085	2	0.618819
2	41085	3	0.703134
2	41085	4	0.740977
2	41096	0	0.603419
2	41096	1	0.556574
2	41096	2	0.507581
2	41096	3	0.510471
2	41096	4	0.544592
2	43051	0	0.795900
2	43051	1	0.812369
2	43051	2	0.769780
2	43051	3	0.759155
2	43051	4	0.765435
2	51084	0	0.944038
2	51084	1	0.948615
2	51084	2	0.943493
2	51084	3	0.943292
2	51084	4	0.945254
2	64061	0	0.445721
2	64061	1	0.434938
2	64061	2	0.381759
2	64061	3	0.395779
2	64061	4	0.411422
2	69022	0	0.458763
2	69022	1	0.732746
2	69022	2	0.777081
2	69022	3	0.760825
2	69022	4	0.778994
2	70011	0	0.734706
2	70011	1	0.815179
2	70011	2	0.850691
2	70011	3	0.866503
2	70011	4	0.863965
2	70090	0	0.729088
2	70090	1	0.767321
2	70090	2	0.786601
2	70090	3	0.884471
2	70090	4	0.903518
2	100007	0	0.972031
2	100007	1	0.962949
2	100007	2	0.963119
2	100007	3	0.959499
2	100007	4	0.949719
2	100080	0	0.930379
2	100080	1	0.917698
2	100080	2	0.912109
2	100080	3	0.917422
2	100080	4	0.922782
2	103006	0	0.577406
2	103006	1	0.514476
2	103006	2	0.596352
2	103006	3	0.720645
2	103006	4	0.785697
2	103078	0	0.842841
2	103078	1	0.793926
2	103078	2	0.809141
2	103078	3	0.809367
2	103078	4	0.818270
2	105027	0	0.452958
2	105027	1	0.466844
2	105027	2	0.587261
2	105027	3	0.631595
2	105027	4	0.610664
2	135037	0	0.671682
2	135037	1	0.487007
2	135037	2	0.466937
2	135037	3	0.500545
2	135037	4	0.472737
2	173036	0	0.658294
2	173036	1	0.663878
2	173036	2	0.687229
2	173036	3	0.726260
2	173036	4	0.755290
2	209070	0	0.381413
2	209070	1	0.421371
2	209070	2	0.482117
2	209070	3	0.616009
2	209070	4	0.676596
2	236017	0	0.495719
2	236017	1	0.576736
2	236017	2	0.657201
2	236017	3	0.743185
2	236017	4	0.814396
2	268002	0	0.488887
2	268002	1	0.411506
2	268002	2	0.529061
2	268002	3	0.732419
2	268002	4	0.775940
2	326038	0	0.754492
2	326038	1	0.752066
2	326038	2	0.754373
2	326038	3	0.797602
2	326038	4	0.787322
3	3063	0	0.977418
3	3063	1	0.981720
3	3063	2	0.973381
3	3063	3	0.953665
3	3063	4	0.930566
3	6046	0	0.859373
3	6046	1	0.786361
3	6046	2	0.823934
3	6046	3	0.865126
3	6046	4	0.883025
3	8068	0	0.920986
3	8068	1	0.923226
3	8068	2	0.921214
3	8068	3	0.914593
3	8068	4	0.921696
3	12003	0	0.942185
3	12003	1	0.970172
3	12003	2	0.974410
3	12003	3	0.974576
3	12003	4	0.974785
3	16052	0	0.823888
3	16052	1	0.802143
3	16052	2	0.834417
3	16052	3	0.871075
3	16052	4	0.897230
3	41006	0	0.559914
3	41006	1	0.493615
3	41006	2	0.539428
3	41006	3	0.491145
3	41006	4	0.506338
3	41085	0	0.400705
3	41085	1	0.416032
3	41085	2	0.479047
3	41085	3	0.638645
3	41085	4	0.685772
3	41096	0	0.630430
3	41096	1	0.728650
3	41096	2	0.701681
3	41096	3	0.674538
3	41096	4	0.667299
3	43051	0	0.853982
3	43051	1	0.824906
3	43051	2	0.807420
3	43051	3	0.808819
3	43051	4	0.815938
3	51084	0	0.916945
3	51084	1	0.939390
3	51084	2	0.939950
3	51084	3	0.925251
3	51084	4	0.919176
3	64061	0	0.649869
3	64061	1	0.613471
3	64061	2	0.521021
3	64061	3	0.503490
3	64061	4	0.519261
3	69022	0	0.635533
3	69022	1	0.659579
3	69022	2	0.643314
3	69022	3	0.693150
3	69022	4	0.713954
3	70011	0	0.697885
3	70011	1	0.670363
3	70011	2	0.627559
3	70011	3	0.606708
3	70011	4	0.669962
3	70090	0	0.736104
3	70090	1	0.608362
3	70090	2	0.677319
3	70090	3	0.684200
3	70090	4	0.742116
3	100007	0	0.966658
3	100007	1	0.962813
3	100007	2	0.959934
3	100007	3	0.960685
3	100007	4	0.963044
3	100080	0	0.893597
3	100080	1	0.910522
3	100080	2	0.912678
3	100080	3	0.912010
3	100080	4	0.899056
3	103006	0	0.661974
3	103006	1	0.635697
3	103006	2	0.635652
3	103006	3	0.641105
3	103006	4	0.694627
3	103078	0	0.755976
3	103078	1	0.802207
3	103078	2	0.860601
3	103078	3	0.899323
3	103078	4	0.913895
3	105027	0	0.481501
3	105027	1	0.681894
3	105027	2	0.690053
3	105027	3	0.651415
3	105027	4	0.755283
3	135037	0	0.684053
3	135037	1	0.704715
3	135037	2	0.740076
3	135037	3	0.735073
3	135037	4	0.754347
3	173036	0	0.506335
3	173036	1	0.460606
3	173036	2	0.468234
3	173036	3	0.511455
3	173036	4	0.543378
3	209070	0	0.325810
3	209070	1	0.392163
3	209070	2	0.416545
3	209070	3	0.408599
3	209070	4	0.433572
3	236017	0	0.479306
3	236017	1	0.477087
3	236017	2	0.563584
3	236017	3	0.629337
3	236017	4	0.657724
3	268002	0	0.456928
3	268002	1	0.413844
3	268002	2	0.425406
3	268002	3	0.432398
3	268002	4	0.436283
3	326038	0	0.477353
3	326038	1	0.557127
3	326038	2	0.533118
3	326038	3	0.529914
3	326038	4	0.590537
4	3063	0	0.895320
4	3063	1	0.915819
4	3063	2	0.905565
4	3063	3	0.878143
4	3063	4	0.923595
4	6046	0	0.578841
4	6046	1	0.681458
4	6046	2	0.706387
4	6046	3	0.709359
4	6046	4	0.717215
4	8068	0	0.625338
4	8068	1	0.772699
4	8068	2	0.768996
4	8068	3	0.767709
4	8068	4	0.764017
4	12003	0	0.854822
4	12003	1	0.911592
4	12003	2	0.917236
4	12003	3	0.917708
4	12003	4	0.925923
4	16052	0	0.555019
4	16052	1	0.683003
4	16052	2	0.746901
4	16052	3	0.787961
4	16052	4	0.813991
4	41006	0	0.262637
4	41006	1	0.262602
4	41006	2	0.253376
4	41006	3	0.240686
4	41006	4	0.274106
4	41085	0	0.340807
4	41085	1	0.372702
4	41085	2	0.405265
4	41085	3	0.414924
4	41085	4	0.433548
4	41096	0	0.662758
4	41096	1	0.633373
4	41096	2	0.659599
4	41096	3	0.653389
4	41096	4	0.699850
4	43051	0	0.767501
4	43051	1	0.543617
4	43051	2	0.398766
4	43051	3	0.359805
4	43051	4	0.443010
4	51084	0	0.856850
4	51084	1	0.933654
4	51084	2	0.933202
4	51084	3	0.937563
4	51084	4	0.927291
4	64061	0	0.598893
4	64061	1	0.652560
4	64061	2	0.531780
4	64061	3	0.576254
4	64061	4	0.548157
4	69022	0	0.435274
4	69022	1	0.464176
4	69022	2	0.519537
4	69022	3	0.599780
4	69022	4	0.628895
4	70011	0	0.396368
4	70011	1	0.375755
4	70011	2	0.263753
4	70011	3	0.296582
4	70011	4	0.337064
4	70090	0	0.633129
4	70090	1	0.607254
4	70090	2	0.622535
4	70090	3	0.624600
4	70090	4	0.631482
4	100007	0	0.215872
4	100007	1	0.246182
4	100007	2	0.263264
4	100007	3	0.258650
4	100007	4	0.276500
4	100080	0	0.919006
4	100080	1	0.923334
4	100080	2	0.878383
4	100080	3	0.907638
4	100080	4	0.904271
4	103006	0	0.464371
4	103006	1	0.499690
4	103006	2	0.482249
4	103006	3	0.485481
4	103006	4	0.491016
4	103078	0	0.305364
4	103078	1	0.329580
4	103078	2	0.334119
4	103078	3	0.341605
4	103078	4	0.343325
4	105027	0	0.479731
4	105027	1	0.427047
4	105027	2	0.393670
4	105027	3	0.385907
4	105027	4	0.398175
4	135037	0	0.615631
4	135037	1	0.622958
4	135037	2	0.639305
4	135037	3	0.602152
4	135037	4	0.559532
4	173036	0	0.435867
4	173036	1	0.414221
4	173036	2	0.413031
4	173036	3	0.412122
4	173036	4	0.405878
4	209070	0	0.432971
4	209070	1	0.456686
4	209070	2	0.403129
4	209070	3	0.452626
4	209070	4	0.510918
4	236017	0	0.356796
4	236017	1	0.400594
4	236017	2	0.494982
4	236017	3	0.526591
4	236017	4	0.519190
4	268002	0	0.194958
4	268002	1	0.206957
4	268002	2	0.209659
4	268002	3	0.220568
4	268002	4	0.223845
4	326038	0	0.626950
4	326038	1	0.516447
4	326038	2	0.541265
4	326038	3	0.458927
4	326038	4	0.474177
5	3063	0	0.974299
5	3063	1	0.978917
5	3063	2	0.983034
5	3063	3	0.983278
5	3063	4	0.983174
5	6046	0	0.877269
5	6046	1	0.873068
5	6046	2	0.893171
5	6046	3	0.911338
5	6046	4	0.896643
5	8068	0	0.923372
5	8068	1	0.928136
5	8068	2	0.931581
5	8068	3	0.933222
5	8068	4	0.951370
5	12003	0	0.959708
5	12003	1	0.975416
5	12003	2	0.977735
5	12003	3	0.977724
5	12003	4	0.977913
5	16052	0	0.869226
5	16052	1	0.881494
5	16052	2	0.907380
5	16052	3	0.914458
5	16052	4	0.919742
5	41006	0	0.654953
