# participant_id	file_id	dilation_radius	dsc
2	3063	0	0.980987
2	3063	1	0.980970
2	3063	2	0.981313
2	3063	3	0.981893
2	3063	4	0.980847
2	6046	0	0.001533
2	6046	1	0.008062
2	6046	2	0.020994
2	6046	3	0.045138
2	6046	4	0.074033
2	8068	0	0.001784
2	8068	1	0.018748
2	8068	2	0.032149
2	8068	3	0.919887
2	8068	4	0.921892
2	12003	0	0.001501
2	12003	1	0.007778
2	12003	2	0.019921
2	12003	3	0.967987
2	12003	4	0.968192
2	16052	0	0.002841
2	16052	1	0.015790
2	16052	2	0.040080
2	16052	3	0.084068
2	16052	4	0.135819
2	41006	0	0.005222
2	41006	1	0.027072
2	41006	2	0.063649
2	41006	3	0.146501
2	41006	4	0.210872
2	41085	0	0.002707
2	41085	1	0.014719
2	41085	2	0.035465
2	41085	3	0.075783
2	41085	4	0.119767
2	41096	0	0.434569
2	41096	1	0.434816
2	41096	2	0.435299
2	41096	3	0.436214
2	41096	4	0.437356
2	43051	0	0.267975
2	43051	1	0.268122
2	43051	2	0.268408
2	43051	3	0.268963
2	43051	4	0.269655
2	51084	0	0.002513
2	51084	1	0.012958
2	51084	2	0.033717
2	51084	3	0.073285
2	51084	4	0.949274
2	64061	0	0.161293
2	64061	1	0.161399
2	64061	2	0.161601
2	64061	3	0.161966
2	64061	4	0.162442
2	69022	0	0.387201
2	69022	1	0.387533
2	69022	2	0.388167
2	69022	3	0.389422
2	69022	4	0.390983
2	70011	0	0.008429
2	70011	1	0.046628
2	70011	2	0.107499
2	70011	3	0.226780
2	70011	4	0.323605
2	70090	0	0.001704
2	70090	1	0.009424
2	70090	2	0.023545
2	70090	3	0.049676
2	70090	4	0.081256
2	100007	0	0.006486
2	100007	1	0.033049
2	100007	2	0.953691
2	100007	3	0.954055
2	100007	4	0.953136
2	100080	0	0.002727
2	100080	1	0.015595
2	100080	2	0.039684
2	100080	3	0.082099
2	100080	4	0.898265
2	103006	0	0.440154
2	103006	1	0.440544
2	103006	2	0.441318
2	103006	3	0.442783
2	103006	4	0.444706
2	103078	0	0.002571
2	103078	1	0.014056
2	103078	2	0.035037
2	103078	3	0.073520
2	103078	4	0.120705
2	105027	0	0.314152
2	105027	1	0.314419
2	105027	2	0.314883
2	105027	3	0.315829
2	105027	4	0.317010
2	135037	0	0.005320
2	135037	1	0.026291
2	135037	2	0.072236
2	135037	3	0.931366
2	135037	4	0.926634
2	173036	0	0.003152
2	173036	1	0.018398
2	173036	2	0.044303
2	173036	3	0.093507
2	173036	4	0.149101
2	209070	0	0.003261
2	209070	1	0.017563
2	209070	2	0.042648
2	209070	3	0.086913
2	209070	4	0.139180
2	236017	0	0.003208
2	236017	1	0.017369
2	236017	2	0.041993
2	236017	3	0.087096
2	236017	4	0.138704
2	268002	0	0.006320
2	268002	1	0.033967
2	268002	2	0.088471
2	268002	3	0.176700
2	268002	4	0.315831
2	326038	0	0.004119
2	326038	1	0.022845
2	326038	2	0.058181
2	326038	3	0.118997
2	326038	4	0.188842
3	3063	0	0.001577
3	3063	1	0.980963
3	3063	2	0.981027
3	3063	3	0.981613
3	3063	4	0.981429
3	6046	0	0.466390
3	6046	1	0.466734
3	6046	2	0.467400
3	6046	3	0.468700
3	6046	4	0.517252
3	8068	0	0.001487
3	8068	1	0.007648
3	8068	2	0.028627
3	8068	3	0.907544
3	8068	4	0.908485
3	12003	0	0.411199
3	12003	1	0.005590
3	12003	2	0.014362
3	12003	3	0.412285
3	12003	4	0.966434
3	16052	0	0.001777
3	16052	1	0.009555
3	16052	2	0.024054
3	16052	3	0.050547
3	16052	4	0.083177
3	41006	0	0.003021
3	41006	1	0.016384
3	41006	2	0.040656
3	41006	3	0.082851
3	41006	4	0.135418
3	41085	0	0.001991
3	41085	1	0.010469
3	41085	2	0.027754
3	41085	3	0.058887
3	41085	4	0.094641
3	41096	0	0.001352
3	41096	1	0.006976
3	41096	2	0.017393
3	41096	3	0.037043
3	41096	4	0.061391
3	43051	0	0.001757
3	43051	1	0.009085
3	43051	2	0.022517
3	43051	3	0.378185
3	43051	4	0.393188
3	51084	0	0.327284
3	51084	1	0.327397
3	51084	2	0.327626
3	51084	3	0.328096
3	51084	4	0.328669
3	64061	0	0.002949
3	64061	1	0.016405
3	64061	2	0.039236
3	64061	3	0.168780
3	64061	4	0.216223
3	69022	0	0.001348
3	69022	1	0.006884
3	69022	2	0.018659
3	69022	3	0.039620
3	69022	4	0.064797
3	70011	0	0.004225
3	70011	1	0.020060
3	70011	2	0.051841
3	70011	3	0.104766
3	70011	4	0.165860
3	70090	0	0.000987
3	70090	1	0.005371
3	70090	2	0.013904
3	70090	3	0.449251
3	70090	4	0.450101
3	100007	0	0.007205
3	100007	1	0.036906
3	100007	2	0.950271
3	100007	3	0.950955
3	100007	4	0.952075
3	100080	0	0.001132
3	100080	1	0.007101
3	100080	2	0.325919
3	100080	3	0.326259
3	100080	4	0.326697
3	103006	0	0.001468
3	103006	1	0.007502
3	103006	2	0.019190
3	103006	3	0.041143
3	103006	4	0.068270
3	103078	0	0.002479
3	103078	1	0.013695
3	103078	2	0.034067
3	103078	3	0.073494
3	103078	4	0.119696
3	105027	0	0.002084
3	105027	1	0.010993
3	105027	2	0.027896
3	105027	3	0.060061
3	105027	4	0.098986
3	135037	0	0.003267
3	135037	1	0.016393
3	135037	2	0.041442
3	135037	3	0.907353
3	135037	4	0.908568
3	173036	0	0.002041
3	173036	1	0.011814
3	173036	2	0.029907
3	173036	3	0.061814
3	173036	4	0.099854
3	209070	0	0.002611
3	209070	1	0.014516
3	209070	2	0.037276
3	209070	3	0.078239
3	209070	4	0.126004
3	236017	0	0.002188
3	236017	1	0.011326
3	236017	2	0.029062
3	236017	3	0.062001
3	236017	4	0.103007
3	268002	0	0.003797
3	268002	1	0.023187
3	268002	2	0.053962
3	268002	3	0.108949
3	268002	4	0.256327
3	326038	0	0.002988
3	326038	1	0.018199
3	326038	2	0.043307
3	326038	3	0.089121
3	326038	4	0.143466
4	3063	0	0.269819
4	3063	1	0.269879
4	3063	2	0.982093
4	3063	3	0.981979
4	3063	4	0.981624
4	6046	0	0.466346
4	6046	1	0.466499
4	6046	2	0.466780
4	6046	3	0.467352
4	6046	4	0.468062
4	8068	0	0.357491
4	8068	1	0.357537
4	8068	2	0.357628
4	8068	3	0.357811
4	8068	4	0.358042
