# participant_id	file_id	time_pressure	dilation_radius	dsc
1	6046	15	0	0.526036
1	6046	15	1	0.534987
1	6046	15	2	0.519623
1	6046	15	3	0.522699
1	6046	15	4	0.558086
1	8023	25	0	0.543233
1	8023	25	1	0.599903
1	8023	25	2	0.532583
1	8023	25	3	0.543419
1	8023	25	4	0.528194
1	8068	25	0	0.937928
1	8068	25	1	0.922693
1	8068	25	2	0.890089
1	8068	25	3	0.918157
1	8068	25	4	0.902248
1	12003	15	0	0.750955
1	12003	15	1	0.930961
1	12003	15	2	0.963166
1	12003	15	3	0.968589
1	12003	15	4	0.970142
1	16052	40	0	0.670384
1	16052	40	1	0.732853
1	16052	40	2	0.780691
1	16052	40	3	0.802641
1	16052	40	4	0.827698
1	35049	15	0	0.454273
1	35049	15	1	0.476629
1	35049	15	2	0.565838
1	35049	15	3	0.669492
1	35049	15	4	0.679310
1	35058	40	0	0.706508
1	35058	40	1	0.763357
1	35058	40	2	0.695438
1	35058	40	3	0.692203
1	35058	40	4	0.720903
1	41006	25	0	0.436273
1	41006	25	1	0.453630
1	41006	25	2	0.427300
1	41006	25	3	0.462903
1	41006	25	4	0.448667
1	41029	25	0	0.923732
1	41029	25	1	0.893396
1	41029	25	2	0.924311
1	41029	25	3	0.906728
1	41029	25	4	0.932288
1	41085	15	0	0.491410
1	41085	15	1	0.365013
1	41085	15	2	0.360985
1	41085	15	3	0.369720
1	41085	15	4	0.377171
1	41096	40	0	0.672174
1	41096	40	1	0.656236
1	41096	40	2	0.562105
1	41096	40	3	0.561345
1	41096	40	4	0.588741
1	42012	25	0	0.453555
1	42012	25	1	0.443463
1	42012	25	2	0.485695
1	42012	25	3	0.514362
1	42012	25	4	0.629567
1	42049	15	0	0.647452
1	42049	15	1	0.625731
1	42049	15	2	0.677085
1	42049	15	3	0.624176
1	42049	15	4	0.647888
1	42078	15	0	0.759678
1	42078	15	1	0.707282
1	42078	15	2	0.658259
1	42078	15	3	0.656026
1	42078	15	4	0.664229
1	43051	25	0	0.778493
1	43051	25	1	0.799209
1	43051	25	2	0.755791
1	43051	25	3	0.734872
1	43051	25	4	0.731095
1	43074	15	0	0.430875
1	43074	15	1	0.304784
1	43074	15	2	0.316621
1	43074	15	3	0.273505
1	43074	15	4	0.259232
1	49024	40	0	0.771105
1	49024	40	1	0.743896
1	49024	40	2	0.754795
1	49024	40	3	0.696543
1	49024	40	4	0.724359
1	64061	40	0	0.499243
1	64061	40	1	0.524485
1	64061	40	2	0.605680
1	64061	40	3	0.609618
1	64061	40	4	0.622229
1	66039	15	0	0.684011
1	66039	15	1	0.684011
1	66039	15	2	0.684011
1	66039	15	3	0.684011
1	66039	15	4	0.684011
1	66075	40	0	0.867158
1	66075	40	1	0.857095
1	66075	40	2	0.856954
1	66075	40	3	0.880694
1	66075	40	4	0.875417
1	69020	15	0	0.717399
1	69020	15	1	0.777572
1	69020	15	2	0.789756
1	69020	15	3	0.790291
1	69020	15	4	0.780448
1	69022	15	0	0.392531
1	69022	15	1	0.408407
1	69022	15	2	0.496353
1	69022	15	3	0.436923
1	69022	15	4	0.495396
1	70011	15	0	0.570547
1	70011	15	1	0.721703
1	70011	15	2	0.508811
1	70011	15	3	0.484737
1	70011	15	4	0.383516
1	77062	40	0	0.536658
1	77062	40	1	0.565826
1	77062	40	2	0.570536
1	77062	40	3	0.692479
1	77062	40	4	0.719896
1	87046	25	0	0.293445
1	87046	25	1	0.319905
1	87046	25	2	0.313239
1	87046	25	3	0.306891
1	87046	25	4	0.292871
1	100007	25	0	0.970102
1	100007	25	1	0.946032
1	100007	25	2	0.845011
1	100007	25	3	0.767310
1	100007	25	4	0.689162
1	100039	15	0	0.793594
1	100039	15	1	0.658987
1	100039	15	2	0.654003
1	100039	15	3	0.602629
1	100039	15	4	0.595190
1	103006	25	0	0.523574
1	103006	25	1	0.531810
1	103006	25	2	0.562466
1	103006	25	3	0.626214
1	103006	25	4	0.650329
1	103078	40	0	0.663949
1	103078	40	1	0.712698
1	103078	40	2	0.727489
1	103078	40	3	0.749869
1	103078	40	4	0.764448
1	104010	40	0	0.640767
1	104010	40	1	0.659479
1	104010	40	2	0.660975
1	104010	40	3	0.637886
1	104010	40	4	0.658239
1	104055	25	0	0.523932
1	104055	25	1	0.500451
1	104055	25	2	0.588779
1	104055	25	3	0.589301
1	104055	25	4	0.538706
1	105025	15	0	0.601430
