# participant_id	file_id	time_pressure	dilation_radius	dsc
1	6046	15	0	0.466321
1	6046	15	1	0.466365
1	6046	15	2	0.466451
1	6046	15	3	0.466604
1	6046	15	4	0.466792
1	8023	25	0	0.002995
1	8023	25	1	0.016263
1	8023	25	2	0.040744
1	8023	25	3	0.083724
1	8023	25	4	0.134079
1	8068	25	0	0.357503
1	8068	25	1	0.357598
1	8068	25	2	0.357781
1	8068	25	3	0.358152
1	8068	25	4	0.358611
1	12003	15	0	0.000450
1	12003	15	1	0.002450
1	12003	15	2	0.006038
1	12003	15	3	0.013622
1	12003	15	4	0.022470
1	16052	40	0	0.254382
1	16052	40	1	0.020495
1	16052	40	2	0.051084
1	16052	40	3	0.106347
1	16052	40	4	0.172609
1	35049	15	0	0.271828
1	35049	15	1	0.271871
1	35049	15	2	0.271967
1	35049	15	3	0.023033
1	35049	15	4	0.272340
1	35058	40	0	0.005900
1	35058	40	1	0.067783
1	35058	40	2	0.720852
1	35058	40	3	0.730918
1	35058	40	4	0.745114
1	41006	25	0	0.200319
1	41006	25	1	0.200413
1	41006	25	2	0.200593
1	41006	25	3	0.200962
1	41006	25	4	0.201406
1	41029	25	0	0.546412
1	41029	25	1	0.546610
1	41029	25	2	0.547006
1	41029	25	3	0.547791
1	41029	25	4	0.548783
1	41085	15	0	0.279519
1	41085	15	1	0.279550
1	41085	15	2	0.279614
1	41085	15	3	0.279741
1	41085	15	4	0.279896
1	41096	40	0	0.434571
1	41096	40	1	0.434818
1	41096	40	2	0.435302
1	41096	40	3	0.436254
1	41096	40	4	0.437477
1	42012	25	0	0.002735
1	42012	25	1	0.014425
1	42012	25	2	0.036710
1	42012	25	3	0.077610
1	42012	25	4	0.127411
1	42049	15	0	0.140137
1	42049	15	1	0.140176
1	42049	15	2	0.140250
1	42049	15	3	0.140392
1	42049	15	4	0.140568
1	42078	15	0	0.368923
1	42078	15	1	0.368996
1	42078	15	2	0.369136
1	42078	15	3	0.369423
1	42078	15	4	0.369777
1	43051	25	0	0.002175
1	43051	25	1	0.011571
1	43051	25	2	0.029201
1	43051	25	3	0.406837
1	43051	25	4	0.453191
1	43074	15	0	0.138294
1	43074	15	1	0.138314
1	43074	15	2	0.138355
1	43074	15	3	0.138440
1	43074	15	4	0.138539
1	49024	40	0	0.357825
1	49024	40	1	0.358126
1	49024	40	2	0.358727
1	49024	40	3	0.359940
1	49024	40	4	0.361435
1	64061	40	0	0.006037
1	64061	40	1	0.030678
1	64061	40	2	0.152295
1	64061	40	3	0.222746
1	64061	40	4	0.303771
1	66039	15	0	0.684011
1	66039	15	1	0.684011
1	66039	15	2	0.684011
1	66039	15	3	0.684011
1	66039	15	4	0.684011
1	66075	40	0	0.001994
1	66075	40	1	0.011264
1	66075	40	2	0.029111
1	66075	40	3	0.060676
1	66075	40	4	0.097629
1	69020	15	0	0.426858
1	69020	15	1	0.426904
1	69020	15	2	0.426993
1	69020	15	3	0.427172
1	69020	15	4	0.427392
1	69022	15	0	0.387141
